"Paratransit, Inc.",ITP_ID,NTD ID,Legacy NTD ID,Kate Review,review comments,PTO trips data inclusion,PTO trips data text info,annual ridership,Only aggregate data,Commuter Bus,Demand Response,Demand response- taxi,Bus,Rail,Other,Source,Year,Link,revenue link (if different source than data source),2017 fare revenue total----,Commuter Bus fare revenue,Demand Response fare revenue,Demand response- taxi fare revenue,Bus Rapid Transit Fare revenue,Bus fare revenue,Commuter rail fare revenue,Heavy rail fare revenue,Light Rail fare revenue,Other modes fare revenue,Other Description,STA1,STA2,Contacted,Trillium client,Agency Acronym,Administering entity,Admin Acronym,Reporter Status,Reporter Type,TypeCode,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,Associated Transit Organizations,Agency Notes,Service area density,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,Operates Transit (Y/N),Potential for GTFS static (Y/N),Transit type,Free fare on fixed-route (Y/N),Fares based on route (Y/N),Fares based on zone (Y/N),Flat fares (Y/N),Reduced fare,Reduced fare categories,Category notes,Transfers Allowed (Y/N),Transfer Time,Transfer Fee (Y/N),Transfers notes,Interagency Transfers (Y/N/?),Interagency transfer notes,Pass times/trips,Pass notes,Reservations (Y/N),Group/school trip Discount (Y/N),Ticket/Pass Sales Methods,Payment Accepted,Ticket Media,Electronic fare program,Ticket validation,Bike fee,Cheaper base fare w/ smartcard (Y/N),Reg/Adult Ticket Price Min,Reg/Adult Ticket Price Max,Pass Price Min,Pass Price Max,Fare capping,GTFS,Real-time status,GTFS Service Alerts,# of fixed routes,GTFS fares (Y/N),GTFS+ Fares (Y/N),Operates Paratransit,Paratransit fare URL,Operates Demand Response,Demand Response fare URL,T_Company,T_Background,T_Tags,T_Phone,T_Email,T_URL,T_URL_Other,T_Created,T_Last_Updated,T_Added by,T_Live in Google Maps,T_NTD ID,T_Number of Routes,T_Trillium client,T-Farebox Ratio % - Year,T_OPEX,Source,County,OPM_ID (DRMT),Local Commission,Metropolitan Planning Organization,Regional Transportation Planning Authority,Caltrans District (int),Caltrans District (string),Combined Address,Street Address,City,Zip,Lat,Long
Metrolink,323,90151,,x,,1,"Quarterly reports of average weekday, saturday and sunday riders for each region of the system. Calculation in trip calculation file","43,637,770",,,,,,"43,637,770",,Metrolink facts,2018,https://www.metrolinktrains.com/about/agency/facts--numbers/,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90151.pdf,"$83,397,682",,,,,,"$83,397,682",,,,,Southern California Regional Rail Authority,Los Angeles County Metropolitan Transportation Authority,Y,,Metrolink,Southern California Regional Rail Authority,SCRRA,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,One Gateway Plaza,Floor 12,,,"The SCRRA is a joint powers authority governed by five county-level agencies: the Los Angeles County Metropolitan Transportation Authority, the Orange County Transportation Authority, the Riverside County Transportation Commission, the San Bernardino Associated Governments, and the Ventura County Transportation Commission.",Urban,Los Angeles,CA,90012,,9,http://www.metrolinktrains.com/,5802,9654173,"2,291","8,341,002",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,195,195,,,Y,Y,rail,,N,Y,N,Y,"age6-18, age65over, disabled, medicare, age0-5, activemilitary",age0-5 are free,Y,,N,,Y,Multiple agencies,"1day, 7day, monthly",,,,"mobile, online, kiosk","cash, card","Paper, mobile",,barcode scanner,,,1.25,27.5,18,252,,https://www.metrolinktrains.com/globalassets/about/gtfs/gtfs.zip,2,,,Y,N,N,,N,,,,,,,,,,,,,,,,,,NTD,Los Angeles,719018,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"1 Gateway Plaza, Los Angeles, CA, 90012",1 Gateway Plaza,Los Angeles,90012,34.056444,-118.233054
Metro,182,90154,9154,x,,1,383795186 2018 estimated ridership systemwide ,"383,795,186",,,,,"275,777,661","108,017,525",,Metro website reported total ridership systemwide,2018,http://isotp.metro.net/MetroRidership/Index.aspx,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90154.pdf,"$334,122,144",,,,"$5,869,463","$225,283,171",,"$35,622,352","$52,570,228","$14,776,930",vanpool,Los Angeles County Metropolitan Transportation Authority,Southern California Regional Rail Authority,Y,,Metro,Los Angeles County Metropolitan Transportation Authority,LACMTA,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,One Gateway Plaza,,,,,Urban,Los Angeles,CA,90012,2952,9,http://www.metro.net/,5566,44055523,"1,419","8,360,358",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736","2,032","1,473","3,505",,,Y,Y,"busfixedroute, rail",,Y,Y,Y,Y,"age65over, disabled, medicare, age0-4",age0-5 are free. Must have a special TAP card to receive reduced fare price. Peak/off-peak times effect reduced price for senior/disabled. ,Y,"2hr, 2.5hr",,Transfer w/ TAP only. No transfers back on the same line.,Y,Offers a reduced transfer fee on Metro-to-Muni,"1day, 7day, 30day, ",Expires at 3am on the day following expiration. ,,Y,"online, vendor, phone, kiosk, onboard","cash, card",TAPcard,TAPcard,fareboxtap,,N,1.75,1.75,7,122,,"https://gitlab.com/LACMTA/gtfs_bus/raw/master/gtfs_bus.zip, https://gitlab.com/LACMTA/gtfs_rail/raw/master/gtfs_rail.zip",2,,,N,N,N,,N,,,,,,,,,,,,,,,,,,NTD,Los Angeles,719001,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"1 Gateway Plaza, Los Angeles, CA, 90012",1 Gateway Plaza,Los Angeles,90012,34.056444,-118.233054
Access Services  ,1,90157,9157,x,,1,"""Access Paratransit system provides more than 3.1 million trips per year"" NTD reports 4,343,696 unlinked trips ","3,100,000",,0,"3,100,000",0,0,0,483 (van),Access Services website About Us page,2018,https://accessla.org/about_us/overview.html,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90157.pdf,"$9,971,134",,"$5,471,023","$4,500,111",,,,,,,,,,,,AS,Los Angeles County Consolidated Transportation Services Agency,CTSA,Active,Full Reporter,,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2017,10/31/2017,3449 Santa Anita Avenue,,5728,,"Metro is the primary funding source for Access Services, the federally-required ADA paratransit service provider for Los Angeles County.",Urban,El Monte,CA,91734,1728,9,http://accessla.org/home/,5830,883300121,"1,621","11,638,106",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,"1,187","1,187",,,Y,N,paratransit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://accessla.org/riding_access/access_riders_guide/fare_card.html,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Camarillo Area Transit,54,90163,9163,x,,1,,"179,443",,,96942,,"82,501",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90163.pdf,,"$200,804",,"$131,494",,,"$69,310",,,,,,Ventura County Transportation Commission,,Y,,CAT,"Camarillo, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,c/o: City of Camarillo,601 Carmen Drive,248,,,Mix,Camarillo,CA,93011,248,9,https://www.cityofcamarillo.org/residents/public_transportation/index.php,5579,830806068,20,"66,923",386,"Camarillo, CA",,"71,772","3,263",22,,16,16,,,Y,Y,"busfixedroute, demandresponse",,N,N,Y,Y,"age55over, ADAcard, medicare, resident",residents of Leisure Village are free,,,,,?,,"monthly, 10ride",,,,"onboardbus, cityhall",cash,,,,,,1.00,1,10,50,,http://data.trilliumtransit.com/gtfs/camarillo-ca-us/camarillo-ca-us.zip,6,,"1 bus, 1 trolley",,,,,Y,https://www.cityofcamarillo.org/residents/public_transportation/index.php,Camarillo Area Transit,,"hasgtfs, hasgtfsrt, syncromatics, socal, VCTC, suspect-servalert, Hanover, Genfare",(805) 988-4228,,,,2016-02-10 20:55:26,2018-02-06 17:32:53,Seth Churnside,N,90163,1 loop - 1 trolley,N,,,NTD/Trillium contact,Ventura,756002,Ventura County Transportation Commission ,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"601 Carmen Drive, Camarillo, CA, 93010",601 Carmen Drive,Camarillo,93010,34.222642,-119.051549
Ventura County Transportation Commission,380,90164,9164,x,This NTD ID is listed as Ventura Intercity Service Transit Authority,1,,"821,093",,"722,831","25,263",,"72,999",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90164.pdf,,"$1,261,768","$1,155,921","$44,094",,,"$61,753",,,,,,Ventura County Transportation Commission,Southern California Regional Rail Authority,Y,YY,VCTC,Ventura County Transportation Commission,VCTC,,,,,,,,,,,,,,,formerly known as Ventura Intercity Service Transit Authority or VISTA,Mix,Ventura,,,,,https://www.goventura.org/,,,,,,,,,,,,,,,,Y,Y,"busfixedroute, paratransit",,Y,N,N,Y,"age0-4, age65over, medicare, ADAcard",age0-4 free,Y,90min,Y,"While most transfers are free, transfers to VCTC Coastal Express or Conejo Connection are $1.50. Transfers to Camarillo Dial-A-Ride are $1.00. Transfers to Valley Express are $0.50.",Y,https://www.goventura.org/vctc-transit/fares-passes/,"10ride, 31day",,,,"onboardbus, online, phone, vendor, cityhall, tcenter","cash, card",customcard,,,,,1.50,3.5,13,50,,http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip,1,,,Y,N,Y,https://www.goventura.org/getting-around/paratransit-dial-a-ride/,,,Ventura County Transportation Commission (VCTC Intercity/GoVentura),,"CalACT/CTA 2008, client-gtfs, NextBus, hasgtfsrt, syncromatics, socal, VCTC, suspect-servalert, Hanover, UTA, Genfare, Speakeasy, REI, prospect-logs",,,http://www.goventura.org,,2008-12-23 00:18:32,2019-03-13 14:32:03,Aaron Antrim,Y,90164,,Y,,,,Ventura,756001,Ventura County Transportation Commission ,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"950 County Sqaure Drive, Ventura, CA, 93003",950 County Sqaure Drive,Ventura,93003,34.26659,-119.21397
Thousand Oaks Transit,337,90165,9165,x,,1,total 2015 ridership for fixed route and dial a ride reported in presentation https://www.toaks.org/Home/ShowDocument?id=12725 416050 higher than NTD data for both 2014 and 2015. 2017 NTD data about half this,"240,328",,,"83,850",,"156,478",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90165.pdf,,"$390,868",,"$240,445",,,"$150,423",,,,,,Ventura County Transportation Commission,,Y,Y,TOT,"Thousand Oaks, City of",,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,c/o: City of Thousand Oaks,2100 Thousand Oak Boulevard,,,,Mix,Thousand Oaks,CA,91362,,9,https://www.toaks.org/departments/public-works/transit,5579,55751937,138,"419,630",168,"Thousand Oaks, CA",,"214,811","2,509",86,,28,28,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age60over, disabled, medicare, ADAcard, age0-5","age0-5 is free, ADAcard is free",Y,,N,,,,"1day, 7day, 31day, 10ride",,,,"onboardbus, tcenter","cash, card, check","paper, customcard",,,,,0.00,1.5,4,42,,http://data.trilliumtransit.com/gtfs/thousandoaks-ca-us/thousandoaks-ca-us.zip,2,,,Y,N,Y,https://www.toaks.org/departments/public-works/transit/dial-a-ride,N,,Kanan Shuttle,,"hasgtfs, hasgtfsrt, syncromatics, socal, VCTC, Genfare, Luminator",,,,,2017-05-30 20:49:29,2017-12-01 19:53:48,Seth Churnside,N,,1,,,,NTD,Ventura,756007,Ventura County Transportation Commission,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"2100 Thousand Oaks Boulevard, Thoudand Oaks, CA, 91362",2100 Thousand Oaks Boulevard,Thoudand Oaks,91362,34.174824,-118.848327
Santa Clarita Transit,295,90171,9171,x,,1,,"2,864,351",,"485,563","101,248",,"2,304,540",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90171.pdf,,"$3,448,211","$1,390,563","$115,905",,,"$1,941,743",,,,,,Los Angeles County Metropolitan Transportation Authority,,Y,,SCT,"Santa Clarita, City of",,Active,Full Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,28250 Constellation Road,,,,,Urban,Santa Clarita,CA,91355,,9,http://santaclaritatransit.com/,5550,192385573,78,"252,271",146,"Santa Clarita, CA",,"258,653","3,371",77,,90,90,,,Y,Y,"busfixedroute, paratransit, demand response",,Y,N,N,Y,"age0-5, disabled, medicare, age62over, ",age0-5 free,N,,,,Y,http://santaclaritatransit.com/fares-passes/transfer-policies/,"EZTpass,1day, monthly",,,,"mobile, onboardbus, online, phone, vendor, kiosk, station","cash, card","TAPcard, mobile",TAPcard,fareboxtap,,N,1.00,4.5,2.5,220,,http://apps.santaclaritatransit.com/rtt/public/utility/gtfs.aspx,5,,16,,,Y,http://santaclaritatransit.com/services/dial-a-ride-asi/,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,719021,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"23920 Valencia Boulevard, Santa Clarita, CA, 91355",23920 Valencia Boulevard,Santa Clarita,91355,34.412693,-118.553928
Beach Cities Transit,260,90214,9214,x,,1,,"383,112",,,"13,834",,"369,278",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90214.pdf,,"$322,777",,"$11,755",,,"$311,022",,,,,,Los Angeles County Metropolitan Transportation Authority,,Y,,BCT,"Redondo Beach, City of",,Active,Full Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,415 Diamond Street,,,,,Mix,Redondo Beach,CA,90277,,9,https://www.redondo.org/depts/recreation/transit/beach_cities_transit/default.asp,1685,74151986,13,"67,233",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,14,14,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age62over, medicare, disabled, studentk-12, resident",discounts differ based on residency,Y,,N,,Y,w/ TAP,monthly,,,,"onboardbus, cityhall, mail",cash,TAPcard,TAPcard,,,N,1.00,1,20,40,,https://www.redondo.org/civicax/filebank/blobdload.aspx?BlobID=33555,5,,,Y,N,Y,https://www.redondo.org/depts/recreation/transit/the_wave.asp,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,719015,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"415 Diamond Street, Redondo Beach, CA, 90277",415 Diamond Street,Redondo Beach,90277,33.845125,-118.38846
Moorpark City Transit,210,90227,9227,x,,1,,"58,361",,,,,"58,361",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90227.pdf,,"$42,068",,,,,"$42,068",,,,,,Ventura County Transportation Commission,,Y,,MCT,"Moorpark, City of",,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,799 Moorpark Avenue,,,,,Rural,Moorpark,CA,93021,,9,http://www.moorparkca.gov/223/Transportation,5579,628053464,12,"35,727",168,"Thousand Oaks, CA",,"214,811","2,509",86,,2,2,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"senior, disabled","senior, disabled are free",Y,,,,Y,FREE transfers are offered between VCTC Intercity buses as well as local fixed-route providers such as Moorpark City Transit and Gold Coast Transit. ,,,,,onboardbus,cash,,,,,,1.00,1,,,,http://data.trilliumtransit.com/gtfs/moorparkcitytransit-ca-us/moorparkcitytransit-ca-us.zip,4,,,,,Y,http://www.moorparkca.gov/238/Specialized-Transportation,,,Moorpark City Transit,connects to Simi Valley and Thousand Oaks,"hasgtfs, NextBus, hasgtfsrt, syncromatics, socal, VCTC, suspect-servalert, Hanover, Genfare, Luminator, Los Angeles",,skroes@moorparkca.gov,,,2012-07-16 20:27:23,2018-02-06 17:33:32,Matt Gridley,Maybe,90227,2,N,,,NTD/Trillium contact,Ventura,756005,Ventura County Transportation Commission,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"799 Moorpark Avenue, Moorpark, CA, 93021",799 Moorpark Avenue,Moorpark,93021,34.286902,-118.883039
Agoura Hills Dial-A-Ride ,2,90246,,x,,1,,"9,070",,0,"9,070",0,0,0,3 (van) // 2 (cutaway),NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90246.pdf,,"$18,006",,"$18,006",,,,,,,,,,,,,,"Angoura Hills, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,30001 Ladyface Court,,,,,Rural,Agoura Hills,CA,91301,,9,http://www.ci.agoura-hills.ca.us/our-city/visitors/alternative-transportation,5566,115500480,8,"20,330",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,4,4,,,Y,N,demandresponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Alhambra Community Transit,6,90247,,x,,1,,"517,848",,,"38,227",,"479,621",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90247.pdf,,"$113,691",,$0,,,"$113,691",,,,,,,,Y,,ACT,"Alhambra, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,111 South First Street,,,,,Mix,Alhambra,CA,91801,,9,https://www.cityofalhambra.org/resources/public-transportation,0,30713652,8,"83,089",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,16,16,,,Y,Y,busfixedroute,,N,N,Y,N,,,N,,,,N,,,,,,onboardbus,cash,,,,,,0.25,0.25,,,,https://data.trilliumtransit.com/gtfs/alhambra-ca-us/alhambra-ca-us.zip,2,,2,,,,,,,Alhambra Community Transit (ACT),,,,,,,2012-07-11 23:33:48,2018-04-20 21:30:47,Matt Gridley,N,,2,N,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Avalon Transit,24,90249,,x,,1,,"61,181",,,"4,214",,"56,967",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90249.pdf,,"$66,378",,"$8,940",,,"$57,438",,,,,,,,Y,YY,,"Avalon, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,410 Avalon Canyon Road,,707,,,Rural,Avalon,CA,90704,,9,http://www.cityofavalon.com/content/3310/5078/default.aspx,0,79623955,1,"3,801",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,4,4,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,N,,,N,,,,N,,,,,,onboardbus,cash,,,,,,2.00,2,,,,http://data.trilliumtransit.com/gtfs/avalon-ca-us/avalon-ca-us.zip,1,,,Y,N,,,Y,http://www.cityofavalon.com/content/3310/5078/default.aspx,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Azusa Transit,26,90250,,x,,1,,"32,947",,0,"32,947",0,0,0,4 van // 2 cutaway,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90250.pdf,,"$14,507",,"$14,507",,,,,,,,,,,,,,"Azusa, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,213 E. Foothill Blvd.,,,,,Mix,Azusa,CA,91702,,9,https://www.ci.azusa.ca.us/329/Azusa-Transit,0,40371361,9,"46,361",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",6,,6,,,Y,N,paratransit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Baldwin Park Transit,29,90251,,x,,1,,"135,926",,,"13,081",,"122,845",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90251.pdf,,"$71,491",,"$3,219",,,"$68,272",,,,,,,,Y,,BPT,"Baldwin Park, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,14403 E. pacific Avenue,,,,,Mix,Baldwin Park,CA,91706,,9,https://www.baldwinpark.com/public-transit,5566,962919770,7,"76,056",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,6,6,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"disabled, senior",disabled/senior pre-qualified at the Esther Snyder Community Center,,,,,,,EZTpass,,,,"onboardbus, online, vendor, phone, kiosk","cash, check","paper, TAPcard",TAPcard,,,N,1.00,1,,,,https://data.trilliumtransit.com/gtfs/baldwinpark-ca-us/baldwinpark-ca-us.zip,4,,2,,,,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
La Campana,35,90252,,x,,1,,"56,243",,,"5,249","3,363","47,631",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90252.pdf,,"$28,122",,$0,"$1,682",,"$26,440",,,,,,,,Y,,,"Bell, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,6250 Pine Ave.,,,,,Urban,Bell,CA,90201,,9,http://www.cityofbell.org/?NavID=72,5566,956000677,3,"35,731",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,9,9,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age60over, disabled, student, studentk-12",reduced fare on passes only,,,,,?,,monthly,monthly passes for reduced rates only,,,"onboardbus, vendor",cash,customcard,,,,,0.50,0.5,6,25,,https://data.trilliumtransit.com/gtfs/lacampana-ca-us/lacampana-ca-us.zip,4,,1,,,Y,http://www.cityofbell.org/?NavID=72,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Bell Gardens,36,90253,,x,,1,,"178,422",,,"38,146",,"140,276",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90253.pdf,,"$62,916",,"$20,661",,,"$42,255",,,,,,,,Y,,BG,"Bell Gardens, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,7100 Garfield Ave,,,,,Rural,Bell Gardens,CA,90201,,9,https://www.bellgardens.org/government/city-departments/public-works/transportation,,4947685,2,"42,889",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,6,6,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age55over, disabled",,N,,,,N,,,,,,onboardbus,,,,,,,0.50,0.5,,,,https://data.trilliumtransit.com/gtfs/bellgardens-ca-us/bellgardens-ca-us.zip,4,,1,,,Y,https://www.bellgardens.org/government/city-departments/public-works/transportation/dial-a-ride,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Bellflower Bus,37,90254,,x,,1,,"89,986",,,"8,287",,"81,669",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90254.pdf,,"$35,847",,"$7,020",,,"$28,827",,,,,,,,Y,,BLF,"Bellflower, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,1660 Civic Center Drive,,,,,Mix,Bellflower,CA,90706,,9,https://www.bellflower.org/resources/transportation/bus.asp,5566,76209873,6,"78,106",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,4,4,,,Y,Y,"busfixedroute, paratranist",,N,N,Y,Y,"age55over, disabled, age0-5",,,,,,,,,,,,onboardbus,,,,,,,0.50,.50,,,,https://data.trilliumtransit.com/gtfs/bellflower-ca-us/bellflower-ca-us.zip,4,,2,,,Y,https://www.bellflower.org/depts/parks/senior/dial.asp,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Beverly Hills,39,90255,,x,,5,Free demand response,"11,272",,,"11,272",,,,,NTD,,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90255.pdf,,$0,,$0,,,,,,,,,,,,,BHS,"Beverly Hills, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,455 North Rexford Drive,,,,,Mix,Beverly Hills,CA,90210,,9,http://www.beverlyhills.org/living/transportation/,5566,75292003,6,"34,833",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,4,4,,,Y,Y,"busfixedroute, paratransit",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not in Google,6,,1,,,Y,http://www.beverlyhills.org/living/seniorprograms/seniordisabledtransitservice/,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Burbank Bus,45,90256,,x,,1,,"228,502",,,,,"228,502",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90256.pdf,,"$200,517",,,,,"$200,517",,,,,,,,Y,,,"Burbank, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,150 North Third Street,,,,,Mix,Burbank,CA,91502,,9,http://www.burbankbus.org/,0,71906432,17,"104,447",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,14,14,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"accesscard, senior",,Y,1hr,N,,Y,"Free for EZTpass, Metrolink tickets and passes, Access Transit TAP Card",EZTpass,,,,"onboardbus, online, phone, mail, vendor",cash,"TAPcard, paper",TAPcard,visual,,N,1.00,1,,,,http://gis.burbankca.gov/files/gtfs/google_transit.zip,2,,,Y,N,Y,http://www.burbankbus.org/services/senior-disabled-services,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
